station_number,northing_original,easting_original,elevation,easting,northing
0,1172684.0,2703238.5,2197.2,2038.5,1184.0
1,1172684.0,2703238.5,2197.2,2038.5,1184.0
2,1172684.0,2703238.5,2197.2,2038.5,1184.0
3,1172684.0,2703238.5,2197.2,2038.5,1184.0
4,1172684.0,2703238.5,2197.2,2038.5,1184.0
5,1172684.0,2703238.5,2197.2,2038.5,1184.0
6,1172684.0,2703238.5,2197.2,2038.5,1184.0
7,1172684.0,2703238.5,2197.2,2038.5,1184.0
8,1172684.0,2703238.5,2197.2,2038.5,1184.0
9,1172684.0,2703238.5,2197.2,2038.5,1184.0
10,1172684.0,2703238.5,2197.2,2038.5,1184.0
11,1172684.0,2703238.5,2197.2,2038.5,1184.0
12,1172684.0,2703238.5,2197.2,2038.5,1184.0
13,1172684.0,2703238.5,2197.2,2038.5,1184.0
14,1172684.0,2703238.5,2197.2,2038.5,1184.0
15,1172684.0,2703238.5,2197.2,2038.5,1184.0
16,1172684.0,2703238.5,2197.2,2038.5,1184.0
17,1172684.0,2703238.5,2197.2,2038.5,1184.0
18,1172684.0,2703238.5,2197.2,2038.5,1184.0
19,1172684.0,2703238.5,2197.2,2038.5,1184.0
20,1172684.0,2703238.5,2197.2,2038.5,1184.0
21,1172684.0,2703238.5,2197.2,2038.5,1184.0
22,1172684.0,2703238.5,2197.2,2038.5,1184.0
23,1172684.0,2703238.5,2197.2,2038.5,1184.0
24,1172684.0,2703238.5,2197.2,2038.5,1184.0
25,1172684.0,2703238.5,2197.2,2038.5,1184.0
26,1172684.0,2703238.5,2197.2,2038.5,1184.0
27,1172684.0,2703238.5,2197.2,2038.5,1184.0
28,1172684.0,2703238.5,2197.2,2038.5,1184.0
29,1172684.0,2703238.5,2197.2,2038.5,1184.0
30,1172684.0,2703238.5,2197.2,2038.5,1184.0
31,1172684.0,2703238.5,2197.2,2038.5,1184.0
32,1172684.0,2703238.5,2197.2,2038.5,1184.0
33,1172684.0,2703238.5,2197.2,2038.5,1184.0
34,1172684.0,2703238.5,2197.2,2038.5,1184.0
35,1172684.0,2703238.5,2197.2,2038.5,1184.0
36,1172684.0,2703238.5,2197.2,2038.5,1184.0
37,1172684.0,2703238.5,2197.2,2038.5,1184.0
38,1172684.0,2703238.5,2197.2,2038.5,1184.0
39,1172684.0,2703238.5,2197.2,2038.5,1184.0
40,1172684.0,2703238.5,2197.2,2038.5,1184.0
41,1172684.61854286,2703238.52115714,2197.33161428571,2038.5211571399122,1184.6185428600293
42,1172685.23708571,2703238.54231429,2197.46322857143,2038.542314290069,1185.2370857100468
43,1172685.85562857,2703238.56347143,2197.59484285714,2038.5634714299813,1185.855628570076
44,1172686.47417143,2703238.58462857,2197.72645714286,2038.5846285698935,1186.4741714301053
45,1172687.09271429,2703238.60578571,2197.85807142857,2038.6057857098058,1187.0927142899018
46,1172687.71125714,2703238.62694286,2197.98968571429,2038.6269428599626,1187.7112571399193
47,1172688.3298,2703238.6481,2198.1213,2038.6480999998748,1188.3297999999486
48,1172688.94834286,2703238.66925714,2198.25291428571,2038.669257139787,1188.9483428599779
49,1172689.56688571,2703238.69041429,2198.38452857143,2038.6904142899439,1189.5668857099954
50,1172690.18542857,2703238.71157143,2198.51614285714,2038.7115714298561,1190.1854285700247
51,1172690.80397143,2703238.73272857,2198.64775714286,2038.7327285697684,1190.803971430054
52,1172691.42251429,2703238.75388571,2198.77937142857,2038.7538857101463,1191.4225142900832
53,1172692.04105714,2703238.77504286,2198.91098571429,2038.7750428598374,1192.0410571401007
54,1172692.6596,2703238.7962,2199.0426,2038.7962000002153,1192.6595999998972
55,1172693.27814286,2703238.81735714,2199.17421428571,2038.8173571401276,1193.2781428599264
56,1172693.89668571,2703238.83851429,2199.30582857143,2038.8385142898187,1193.896685709944
57,1172694.51522857,2703238.85967143,2199.43744285714,2038.8596714301966,1194.5152285699733
58,1172695.13377143,2703238.88082857,2199.56905714286,2038.8808285701089,1195.1337714300025
59,1172695.75231429,2703238.90198571,2199.70067142857,2038.901985710021,1195.7523142900318
60,1172696.37085714,2703238.92314286,2199.83228571429,2038.923142860178,1196.3708571400493
61,1172696.9894,2703238.9443,2199.9639,2038.9443000000902,1196.9894000000786
62,1172697.60794286,2703238.96545714,2200.09551428571,2038.9654571400024,1197.6079428601079
63,1172698.22648571,2703238.98661429,2200.22712857143,2038.9866142901592,1198.2264857098926
64,1172698.84502857,2703239.00777143,2200.35874285714,2039.0077714300714,1198.8450285699219
65,1172699.46357143,2703239.02892857,2200.49035714286,2039.0289285699837,1199.4635714299511
66,1172700.08211429,2703239.05008571,2200.62197142857,2039.050085709896,1200.0821142899804
67,1172700.70065714,2703239.07124286,2200.75358571429,2039.0712428600527,1200.700657139998
68,1172701.3192,2703239.0924,2200.8852,2039.092399999965,1201.3192000000272
69,1172701.93774286,2703239.11355714,2201.01681428571,2039.1135571398772,1201.9377428600565
70,1172702.55628571,2703239.13471429,2201.14842857143,2039.134714290034,1202.556285710074
71,1172703.17482857,2703239.15587143,2201.28004285714,2039.1558714299463,1203.1748285701033
72,1172703.79337143,2703239.17702857,2201.41165714286,2039.1770285698585,1203.7933714298997
73,1172704.41191429,2703239.19818571,2201.54327142857,2039.1981857097708,1204.411914289929
74,1172705.03045714,2703239.21934286,2201.67488571429,2039.2193428599276,1205.0304571399465
75,1172705.649,2703239.2405,2201.8065,2039.2404999998398,1205.6489999999758
76,1172706.26754286,2703239.26165714,2201.93811428571,2039.2616571402177,1206.267542860005
77,1172706.88608571,2703239.28281429,2202.06972857143,2039.2828142899089,1206.8860857100226
78,1172707.50462857,2703239.30397143,2202.20134285714,2039.303971429821,1207.5046285700519
79,1172708.12317143,2703239.32512857,2202.33295714286,2039.325128570199,1208.1231714300811
80,1172708.74171429,2703239.34628571,2202.46457142857,2039.3462857101113,1208.7417142901104
81,1172709.36025714,2703239.36744286,2202.59618571429,2039.3674428598024,1209.360257139895
82,1172709.9788,2703239.3886,2202.7278,2039.3886000001803,1209.9787999999244
83,1172710.59734286,2703239.40975714,2202.85941428571,2039.4097571400926,1210.5973428599536
84,1172711.21588571,2703239.43091429,2202.99102857143,2039.4309142897837,1211.2158857099712
85,1172711.83442857,2703239.45207143,2203.12264285714,2039.4520714301616,1211.8344285700005
86,1172712.45297143,2703239.47322857,2203.25425714286,2039.4732285700738,1212.4529714300297
87,1172713.07151429,2703239.49438571,2203.38587142857,2039.494385709986,1213.071514290059
88,1172713.69005714,2703239.51554286,2203.51748571429,2039.515542860143,1213.6900571400765
