offset,tt,src_easting_original,src_northing_original,src_elevation,rec_easting_original,rec_northing_original,rec_elevation,src_easting,src_northing,rec_easting,rec_northing,src_name,rec_name
3.7535219,0.027853404999999998,2701903.330002,1172251.4500122,1854.75,2701903.899994,1172255.1600037,1855.57,703.3300020000897,751.4500122000463,703.8999939998612,755.1600037000608, 703_ 751, 704_ 755
4.4794874,0.027853404999999998,2702265.08,1172876.49,2236.29,2702265.92,1172880.89,2238.28,1065.0800000000745,1376.4899999999907,1065.9199999999255,1380.8899999998976,1065_1376,1066_1381
4.664423,0.0401375847,2702349.85,1173024.38,2274.19,2702347.76,1173028.55,2274.81,1149.8500000000931,1524.3799999998882,1147.7599999997765,1528.5500000000466,1150_1524,1148_1529
4.6676111,0.0344109917,2702294.31,1172926.25,2260.6,2702293.0,1172930.73,2261.99,1094.3100000000559,1426.25,1093.0,1430.7299999999814,1094_1426,1093_1431
5.5056787,0.0557789955,2702099.559999,1172586.6999998,2073.61,2702097.780001,1172591.9099998,2075.99,899.5599989998154,1086.699999799952,897.7800010000356,1091.9099997999147, 900_1087, 898_1092
5.7279921,0.0364713135,2702323.54,1172975.8,2271.06,2702318.96,1172979.24,2270.17,1123.5400000000373,1475.8000000000466,1118.9599999999627,1479.2399999999907,1124_1476,1119_1479
5.7502179,0.0422801056,2701680.690002,1171863.0999756,1625.16,2701681.519989,1171868.789978,1627.1,480.69000199995935,363.09997559990734,481.5199890001677,368.78997800010256, 481_ 363, 482_ 369
5.8034482,0.044094524399999994,2702070.61,1172537.8499985,2047.74,2702070.41,1172543.6499996,2050.86,870.6099999998696,1037.8499984999653,870.410000000149,1043.6499995999038, 871_1038, 870_1044
6.0565495,0.0344109917,2702240.51,1172828.18,2226.41,2702238.04,1172833.71,2226.58,1040.5099999997765,1328.1799999999348,1038.0400000000373,1333.7099999999627,1041_1328,1038_1334
6.3953061,0.026541885400000003,2702014.110001,1172440.7700043,1978.09,2702015.209999,1172447.0699997,1980.88,814.1100010001101,940.770004299935,815.209999000188,947.0699996999465, 814_ 941, 815_ 947
6.407022,0.026541885400000003,2701820.700012,1172102.5400085,1769.89,2701820.399994,1172108.9400024,1771.72,620.700011999812,602.5400084999856,620.3999939998612,608.9400023999624, 621_ 603, 620_ 609
